,bts_id,lat,lon,comuna
150,ESTAD,-33.4371,-70.6396,SANTIAGO
151,JBARF,-33.4371,-70.6448,SANTIAGO
152,MAVIM,-33.4451,-70.6332,SANTIAGO
153,ALBER,-33.4354,-70.6337,PROVIDENCIA
154,CRYC1,-33.4313,-70.5708,LA REINA
155,CORFO,-33.3767,-70.5246,LAS CONDES
156,DCOCF,-33.4468,-70.6584,SANTIAGO
157,PORTF,-33.4559,-70.6336,SANTIAGO
158,SMGG1,-33.4862,-70.6563,SAN MIGUEL
159,EMONF,-33.364000000000004,-70.5421,LO BARNECHEA
160,HOLC2,-33.4202,-70.6098,PROVIDENCIA
161,IANOS,-33.4931,-70.6512,SAN MIGUEL
162,LUCC1,-33.4765,-70.6217,MACUL
163,ABARF,-33.4377,-70.6605,SANTIAGO
164,CATC2,-33.4071,-70.681,RENCA
165,LAMEF,-33.3569,-70.7274,QUILICURA
166,MVLTR,-33.3573,-70.541,LO BARNECHEA
167,STRAN,-33.4906,-70.738,MAIPÚ
168,GRABF,-33.4835,-70.5289,PEÑALOLÉN
169,LESPF,-33.4764,-70.5983,MACUL
170,TEJED,-33.4541,-70.5406,LA REINA
171,MQHF2,-33.398,-70.5727,VITACURA
172,SANNU,-33.4998,-70.6535,SAN MIGUEL
173,VBUSF,-33.5072,-70.6452,SAN MIGUEL
174,ABMOF,-33.4556,-70.6727,SANTIAGO
175,ERRER,-33.4447,-70.6024,PROVIDENCIA
176,MFAR3,-33.4034,-70.5584,LAS CONDES
177,MRINF,-33.4468,-70.6397,SANTIAGO
178,CEMOR,-33.44,-70.6534,SANTIAGO
179,PBRAS,-33.4398,-70.6646,SANTIAGO
180,REYES,-33.4426,-70.6717,SANTIAGO
181,HOYTF,-33.4405,-70.6482,SANTIAGO
182,FUTFF,-33.4063,-70.7357,RENCA
183,NOSC2,-33.642,-70.7112,SAN BERNARDO
184,NUBLF,-33.4654,-70.6258,ÑUÑOA
185,NVSMT,-33.4406,-70.6586,SANTIAGO
186,OBIF2,-33.4033,-70.5957,VITACURA
187,OBRAF,-33.5911,-70.4961,SAN JOSÉ DE MAIPO
188,PALIC,-33.5183,-70.5686,LA FLORIDA
189,MOBF2,-33.4421,-70.652,SANTIAGO
190,SDGG1,-33.4548,-70.6497,SANTIAGO
