,bts_id,lat,lon
236,CCVC2,-33.3967,-71.1421
237,AGRC1,-33.4336,-70.8353
238,DPTC2,-33.5022,-70.665
239,ELALF,-33.4024,-70.5155
240,EFEC1,-33.5153,-70.687
241,ISLRT,-33.6985,-70.8916
242,OLPOF,-33.5118,-70.7771
243,GIMNF,-33.5028,-70.7425
244,ISLOC,-33.7378,-70.8636
245,ACYF2,-33.2462,-70.6986
246,ESDEC,-33.3868,-70.6665
247,DHSG1,-33.3691,-70.5318
248,ACUF2,-33.8801,-70.8895
249,EMULC,-33.4105,-70.536
250,MLGAF,-33.4156,-70.5834
251,SBARF,-33.4617,-70.6458
252,CRISF,-33.4248,-70.5951
253,MAGAF,-33.5484,-70.5771
254,4CENF,-33.4151,-70.562
255,QIMF2,-33.3603,-70.497
256,RAMOT,-33.3916,-70.6516
257,PSNC2,-33.3346,-70.7198
258,PATC1,-33.4287,-70.6428
259,SULCI,-33.5401,-70.666
260,PPLG1,-33.4438,-70.658
261,RPBF2,-33.4512,-70.666
262,JP2EF,-33.2759,-70.6169
263,SLCG1,-33.4394,-70.6471
264,ALLOF,-33.5148,-70.7673
265,SMARF,-33.2775,-70.5438
266,SVYC2,-33.4951,-70.609
267,TEAC1,-33.441,-70.6546
268,UAIBF,-33.4804,-70.5164
269,CIRCO,-33.2744,-70.7468
270,CLORF,-33.4518,-70.558
271,MELI4,-33.6933,-71.2078
272,CCA5A,-33.418,-70.6059
273,ESTEF,-33.3548,-70.7059
274,DBZAF,-33.4285,-70.6494
275,LTDAF,-33.4303,-70.5553
276,CCA1C,-33.418,-70.6059
277,ECAC2,-33.5247,-70.7877
278,CCY1C,-33.418,-70.6059
279,ASBXF,-33.4653,-70.6875
280,SOTC1,-33.5832,-70.5946
281,UTORF,-33.4694,-70.7288
282,PRATF,-33.4445,-70.6519
283,MRNC1,-33.4917,-70.672
284,CVECM,-33.5391,-70.7905
285,PEPOO,-33.5956,-70.8455
286,SATG1,-33.558,-70.7903
287,FLRC1,-33.5057,-70.6019
288,NCOOF,-33.5855,-70.574
289,DHRLF,-33.3625,-70.5149
290,GAMBF,-33.4006,-70.5537
291,MCPPF,-33.4257,-70.6142
292,QUILE,-33.3298,-70.7053
293,MNDC3,-33.4431,-70.6537
294,JUMPE,-33.4884,-70.55
295,LPAJA,-33.4715,-70.542
296,LQUIL,-33.5675,-70.5862
297,CTORF,-33.5977,-70.6034
298,SEMC2,-33.4462,-70.626
299,ALDEF,-33.5331,-70.6353
300,CSNOF,-33.4488,-70.6684
301,FERRF,-33.4446,-70.6804
302,PRUTF,-33.6083,-70.8791
303,ACY7A,-33.3904,-70.5474
304,CCARO,-33.3732,-70.6831
305,PAA3E,-33.4024,-70.579
306,MMORT,-33.6925,-71.2159
307,PAA1F,-33.4024,-70.579
308,CONDF,-33.4484,-70.6456
309,PAY5A,-33.4024,-70.579
310,JMCAR,-33.5542,-70.5967
311,ASCLF,-33.3962,-70.7934
312,ACTRF,-33.4187,-70.5885
313,ARZTF,-33.525,-70.6749
314,MEUCA,-33.4399,-70.6398
315,MELEO,-33.4224,-70.6094
316,5DFF2,-33.4149,-70.7187
317,VIVC1,-33.4164,-70.6663
318,BULC1,-33.4489,-70.6524
319,CBOLL,-33.5769,-71.2139
320,CMARF,-33.6062,-70.6412
321,ALBC2,-33.3904,-70.5156
322,ELPC2,-33.5745,-70.5578
323,CSJNF,-33.5037,-70.627
324,JOTAF,-33.456,-70.6872
325,ANTUF,-33.4283,-70.6129
326,CAPIT,-33.4526,-70.6011
327,CARME,-33.4511,-70.6366
328,CLRYF,-33.2492,-70.7496
329,HUBET,-33.3526,-70.692
330,PERUR,-33.6265,-70.8907
331,LMPF2,-33.2819,-70.8905
332,GOBSF,-33.5491,-70.6779
333,ELPZF,-33.4191,-70.5722
334,LAFAU,-33.4905,-70.7719
335,ESBC2,-33.5948,-70.6972
336,LYDAF,-33.6425,-71.3496
337,ERQMA,-33.6119,-70.6979
338,EHURU,-33.5552,-70.8625
339,RENK3,-33.3922,-70.75
340,INZON,-33.4189,-70.5673
341,ISLMF,-33.7562,-70.8981
342,JAGUF,-33.3785,-70.6754
343,UCXC1,-33.5003,-70.6432
344,SAVIP,-33.672,-70.6226
345,TROVA,-33.4423,-70.7633
346,CSMBE,-33.4324,-70.6294
347,MAPQF,-33.415,-70.5891
348,PRODA,-33.4328,-70.6251
349,ESANF,-33.4576,-70.543
350,LPEBF,-33.4935,-70.5498
351,SAPLO,-33.4442,-70.7209
352,MAVME,-33.6848,-71.2135
353,WMAF2,-33.5215,-70.5559
354,MUPEC,-33.4024,-70.6199
355,MRACF,-33.4038,-70.5795
356,VCLOF,-33.8402,-70.8038
357,RENC1,-33.4037,-70.6995
358,HARRI,-33.4051,-70.54
359,PACG1,-33.4756,-70.6899
360,LARAL,-33.2927,-70.8821
361,HTALF,-33.8678,-70.7476
362,PRDC1,-33.4221,-70.6023
363,PRMMF,-33.4288,-70.6203
364,SGUTF,-33.4179,-70.7371
365,SAMLF,-33.541,-70.563
366,TMZC2,-33.4599,-70.6909
367,SPFRF,-33.3806,-70.5679
368,AMA1A,-33.4825,-70.751
369,AMA1C,-33.4825,-70.751
370,VTCNF,-33.4242,-70.5836
371,AMA1E,-33.4825,-70.751
372,YNGC2,-33.4278,-70.7047
373,FBATF,-32.9952,-70.6921
374,HQUEF,-33.8105,-70.6366
375,LANCO,-33.5762,-70.6915
376,MEXPF,-33.4517,-70.6781
377,ATBLA,-33.4552,-70.5482
378,LOCLB,-33.497,-70.6824
379,VIAJA,-33.4499,-70.7713
380,GLETF,-33.4771,-70.6752
381,HIMA2,-33.731,-70.9097
382,AFRRF,-33.4394,-70.7068
383,PINC1,-33.5832,-70.6318
384,HMER2,-33.5096,-70.6811
385,PLNAF,-33.4936,-70.5426
386,PBICF,-33.5069,-70.692
387,VMACO,-33.187,-70.655
388,POA3C,-33.5174,-70.7174
389,BELGI,-33.414,-70.6555
390,POA2A,-33.5174,-70.7174
391,POA2E,-33.5174,-70.7174
392,SLRC1,-33.278,-70.7739
393,LLALM,-33.4408,-70.5995
394,FELHU,-33.3903,-70.5603
395,PHURT,-33.5808,-70.8103
396,VIEJA,-33.6099,-70.5266
397,QQB1E,-33.4881,-70.5776
398,ASRRF,-33.4052,-70.711
399,BRJAF,-33.4606,-70.6829
400,CERXB,-33.4927,-70.7063
401,HAPO1,-33.4187,-70.545
402,MELI2,-33.6775,-71.2297
403,PSJOA,-33.5949,-70.6731
404,LPAEP,-33.6193,-70.6319
405,SBELL,-33.4668,-70.6361
406,HAPO2,-33.4208,-70.5445
407,FEGRE,-33.4675,-70.5473
408,CODOC,-33.361,-70.5065
409,VESMI,-33.3972,-70.7692
410,HAPO6,-33.4119,-70.5301
411,HBCF3,-33.4883,-70.6836
412,HSFC6,-33.4068,-70.5181
413,ESPAJ,-33.4565,-70.6664
414,GUANO,-33.1562,-70.8017
415,HDIR1,-33.4209,-70.7589
416,ALTJA,-33.733000000000004,-70.7244
417,RUTAI,-33.738,-70.9335
418,ACUDF,-33.8577,-70.9342
419,ECHEP,-33.3823,-70.7746
420,SCDLV,-33.4593,-70.8426
421,BHPCP,-33.4038,-70.5702
422,LAMP2,-33.2815,-70.8757
423,HSFC7,-33.4179,-70.5092
424,MTNC3,-33.7146,-70.3409
425,CONOC,-33.1848,-70.6782
426,PENOR,-33.5985,-70.8845
427,TADOU,-33.5575,-70.8211
428,RQLC2,-33.4902,-70.5775
429,JPHF1,-33.4284,-70.5416
430,MPDO1,-33.4155,-70.5407
431,MONTE,-32.9828,-70.8585
432,L6NT1,-33.4845,-70.6944
433,CEPAR,-33.4022,-70.579
434,BEHUA,-33.4398,-70.6534
435,LOCER,-33.5068,-70.5792
436,MIGOM,-33.5594,-70.7679
437,MECUA,-33.4559,-70.7014
